code,client,latitude,longitude,surface_area,seeding_date,crop,disabled,geometry
PLOT00050,CLIENT00308,43.100613,1.965064,3.2,2026-05-20,Maïs semence,False,"MULTIPOLYGON(((1.96678329 43.10088553,1.96654577 43.10103976,1.96622578 43.10108796,1.9661829 43.10079154,1.96678329 43.10088553)),((1.96329617 43.10092443,1.96326708 43.10075799,1.96412027 43.1004676,1.96607873 43.10009222,1.96605449 43.10025512,1.96575878 43.10051364,1.96516309 43.10059923,1.96329617 43.10092443)),((1.96591391 43.1012396,1.96538066 43.10139896,1.9650995 43.1008961,1.96335918 43.10125022,1.96329132 43.10094213,1.96507526 43.10064821,1.96575878 43.10055259,1.96591391 43.1012396)),((1.96654318 43.10003991,1.96710159 43.10009573,1.96734847 43.10019449,1.96783634 43.10040489,1.96720152 43.10067112,1.96683708 43.10086864,1.96615524 43.100757,1.96606707 43.10052083,1.96625516 43.10039631,1.96633158 43.10021596,1.96654318 43.10003991)))"
PLOT00051,CLIENT00308,43.088141,1.960214,0.8,2026-05-13,Maïs semence,False,"POLYGON((1.95873381 43.0886621,1.95868026 43.08865237,1.95870965 43.08858727,1.95956727 43.0884906,1.96153688 43.08791405,1.9615153 43.08782622,1.95987242 43.08831043,1.95952103 43.08840952,1.95876033 43.08847499,1.95879383 43.08840076,1.95931586 43.08832046,1.95965473 43.08825756,1.96025186 43.08805011,1.96087281 43.08786943,1.96160916 43.08764592,1.96172473 43.08789472,1.96045966 43.08831968,1.95995698 43.08846032,1.95932445 43.08861012,1.95873381 43.0886621))"
PLOT00061,CLIENT00308,44.136592,1.367186,4.5,2026-05-03,Maïs semence,False,"MULTIPOLYGON(((1.37182223 44.13658436,1.37039961 44.13695305,1.36977227 44.13700622,1.36977134 44.13700634,1.36958044 44.13630329,1.36959939 44.13630429,1.37014275 44.13626175,1.37032551 44.13661626,1.37173331 44.13632911,1.37182223 44.13658436)),((1.3683854 44.13623998,1.3684435 44.13719041,1.3660873 44.1373111,1.3658255 44.13712321,1.3654574 44.13675028,1.36514498 44.1364323,1.36513098 44.13612434,1.3654213 44.1361520999,1.36573446 44.1361708199,1.36685294 44.13627239,1.3683854 44.13623998)))"
PLOT00077,CLIENT00308,43.931793,1.377403,12,2026-04-24,Maïs semence,False,"POLYGON((1.37432098 43.9312699,1.37619209 43.92955148,1.37841511 43.93089825,1.37827778 43.93100952,1.37995148 43.93205647,1.38100719 43.93269081,1.3791275 43.93429171,1.37778854 43.93351522,1.37635147 43.93256754,1.37432098 43.9312699))"
PLOT00079,CLIENT00308,43.843686,1.436039,19.46,2026-05-13,Maïs semence,False,"MULTIPOLYGON(((1.43696185 43.84293491,1.43696571 43.84293808,1.4372209 43.84316051,1.43765691 43.84354176,1.4379655 43.84378579,1.43869352 43.84448392,1.4387257 43.84482439,1.43871497 43.84517259,1.43858623 43.84556722,1.43804979 43.84618623,1.43728959 43.8466812,1.43616491 43.84568467,1.43638598 43.84545359,1.43652212 43.84528406,1.4332875 43.8430208,1.43317157 43.8429145,1.43266758 43.84239632,1.43363742 43.84198687,1.43560496 43.8411562,1.43560527 43.84115568,1.43561909 43.84114985,1.43563645 43.84112104,1.43571918 43.84114475,1.43566608 43.84123335,1.43646192 43.84254169,1.43695158 43.84294443,1.43696185 43.84293491)),((1.43038037 43.84293585,1.43038207 43.84293772,1.43076831 43.84268236,1.43202679 43.84194703,1.43255701 43.84256958,1.4327552 43.84320817,1.43195581 43.84378751,1.43106531 43.84441428,1.43083319 43.84455886,1.43063699 43.84463399,1.43022746 43.84462555,1.42977052 43.84451626,1.42924458 43.84407702,1.42848306 43.84321629,1.42857962 43.84274427,1.42883505 43.84251578,1.42855423 43.84227948,1.42848402 43.84206006,1.4287035 43.84181011,1.42924215 43.84166132,1.42956328 43.8418762,1.43007826 43.84262681,1.43036794 43.84294407,1.43038037 43.84293585)))"
PLOT00083,CLIENT00308,43.198788,1.552698,1,2026-04-25,Maïs semence,False,"POLYGON((1.55541315 43.19954597,1.55521305 43.19932854,1.55509735 43.19919381,1.55492478 43.19901552,1.55460309 43.19866748,1.55435169 43.19839529,1.55425643 43.19829199,1.55426405 43.19826978,1.55525973 43.19805443,1.55585828 43.198641,1.55585533 43.19873033,1.55627379 43.1990817,1.55607571 43.19949641,1.55583407 43.20000017,1.55541315 43.19954597))"
PLOT00088,CLIENT00308,43.140053,1.37593,6.4,2026-05-09,Maïs semence,False,"POLYGON((1.37380502 43.14322546,1.37379191 43.14323402,1.37323093 43.14360041,1.37281036 43.14375697,1.37238121 43.14373192,1.37189198 43.14352526,1.37133408 43.14326849,1.3710165 43.1429491,1.37075901 43.14269233,1.37048435 43.14261718,1.37069893 43.14223515,1.37093925 43.14160262,1.37097359 43.14107654,1.37105942 43.1405943,1.37120533 43.14033752,1.37178898 43.14055046,1.3720133 43.14058728,1.37256048 43.14056379,1.373054 43.14032893,1.37339732 43.14024282,1.37348843 43.14011206,1.37348843 43.14003064,1.37347126 43.13994296,1.37347984 43.13986154,1.37285328 43.13990538,1.37267303 43.13979891,1.37253571 43.13962355,1.37235546 43.13956092,1.37203789 43.13937303,1.37184906 43.1390724,1.37173748 43.13882814,1.37305927 43.13842731,1.37382317 43.1381392,1.37366009 43.13787615,1.37372017 43.13763189,1.37409782 43.13820184,1.37428665 43.13850873,1.37610197 43.1378143,1.37564707 43.13719112,1.37528229 43.13671511,1.37586594 43.13640429,1.37556553 43.13597839,1.37610626 43.13572159,1.37628091 43.13564301,1.37655386 43.13552021,1.37724781 43.13520799,1.37798595 43.13567775,1.37831211 43.13628529,1.37856102 43.13714336,1.37882709 43.13779473,1.37897301 43.13855883,1.37930775 43.13937303,1.37971115 43.1400369,1.37954807 43.14051915,1.37891586 43.14075701,1.3783365 43.14100361,1.37795563 43.14117193,1.37764449 43.14126978,1.37737953 43.14130778,1.3773622 43.14131027,1.37728228 43.14132173,1.37716315 43.14133882,1.37715858 43.14134091,1.37714823 43.14134566,1.37595079 43.14189464,1.37528872 43.14228017,1.37515524 43.14238804,1.37508273 43.14249779,1.37490678 43.14259956,1.37480593 43.14264497,1.37446046 43.14285007,1.37380502 43.14322546))"
PLOT00098,CLIENT00308,43.838641,1.520646,12,2026-04-23,Maïs semence,False,"POLYGON((1.5166616 43.8377671,1.51525484 43.8376608,1.51626797 43.83643447,1.5166501 43.8361495,1.5178613 43.8356115,1.51930488 43.83536636,1.5206507 43.8350935,1.5221309 43.8354101,1.52254239 43.83551719,1.520225517 43.838723893,1.52009141 43.83863684,1.51986365 43.83847255,1.51973886 43.83840414,1.51952871 43.83828894,1.51926075 43.83801836,1.51918043 43.83800909,1.51859087 43.83794105,1.51740445 43.83783408,1.5166616 43.8377671))"
PLOT00100,CLIENT00308,43.816703,1.488485,12,2026-04-24,Maïs semence,False,"POLYGON((1.486129103 43.817359023,1.48644692 43.81722587,1.486446747 43.817221878,1.48647715 43.81720906,1.48646489 43.81694888,1.48604157 43.81703272,1.485713028 43.815743525,1.48681239 43.81513496,1.48712138 43.81536411,1.48776511 43.81513186,1.48826936 43.81503896,1.48871997 43.81502348,1.48903111 43.81506993,1.4896963 43.81486864,1.490308749 43.815419262,1.48984744 43.81559043,1.48931605 43.81578966,1.48898178 43.81591419,1.48866466 43.81603249,1.488651798 43.816048833,1.48863888 43.81605362,1.48853588 43.81618368,1.49044991 43.81551093,1.49133182 43.81623187,1.491378425 43.816231899,1.491379331 43.81624625,1.49135113 43.8162458,1.49140218 43.81710596,1.490592942 43.818119064,1.48915265 43.81844785,1.48655171 43.81903842,1.486129103 43.817359023))"
PLOT00102,CLIENT00308,43.181517,1.803032,9,2026-05-22,Maïs semence,False,"POLYGON((1.79776976 43.17945122,1.79783441 43.17945122,1.79785452 43.17943681,1.79785638 43.17943653,1.7982292 43.17919987,1.79859398 43.17907469,1.79860412 43.17907506,1.79901777 43.17909033,1.79937719 43.17923507,1.79987608 43.17923898,1.79987681 43.1792389,1.80022477 43.17919987,1.80022614 43.17920098,1.80056272 43.17947369,1.80095897 43.17965505,1.80106698 43.17970449,1.80107727 43.17970406,1.80139718 43.17969069,1.80209695 43.17966146,1.80236517 43.17960278,1.8026012 43.17962625,1.80263355 43.17965208,1.80263397 43.17965242,1.8027699 43.17976092,1.80311082 43.18003308,1.80329858 43.18009958,1.80351852 43.1801387,1.80400132 43.18016608,1.80400668 43.18016999,1.80401589 43.18016852,1.80422662 43.18013478,1.80446049 43.18012495,1.80450557 43.18012305,1.80454871 43.18010785,1.80482744 43.18000961,1.80483817 43.18022084,1.80485581 43.18019579,1.804893189 43.180142716,1.805131931 43.183127923,1.80353998 43.18347143,1.80180459 43.18367874,1.80173485 43.18309201,1.80127351 43.18299813,1.80120645 43.18187941,1.80100609 43.18187941,1.80099486 43.18187941,1.8006906 43.18187941,1.79972588 43.18187941,1.79968832 43.18214931,1.79898608 43.18227344,1.79898022 43.18227448,1.79825066 43.18213366,1.79755329 43.18196937,1.79722606 43.18083107,1.79749428 43.17949325,1.79749295 43.17949109,1.79775853 43.17945122,1.79776976 43.17945122))"
